加工物料序号, 加工CNC序号, 开始时间, 结束时间, 耗时
130, 4, 12152,12652, 500
115, 1, 12808,13088, 280
122, 1, 13141,13421, 280
119, 1, 13474,13754, 280
161, 4, 12832,13332, 500
155, 7, 12604,13104, 500
207, 5, 15485,15765, 280
112, 5, 15818,16098, 280
154, 6, 14688,15188, 500
103, 4, 13440,13940, 500
129, 1, 13848,14128, 280
147, 7, 13235,13735, 500
13, 6, 15287,15787, 500
27, 1, 14242,14522, 280
94, 3, 15391,15671, 280
196, 2, 12907,13407, 500
22, 3, 15765,16045, 280
123, 6, 15886,16386, 500
64, 4, 14039,14539, 500
138, 1, 14616,14896, 280
3, 3, 16139,16419, 280
11, 3, 16472,16752, 280
151, 1, 14990,15270, 280
72, 8, 12848,13348, 500
173, 5, 16192,16472, 280
22, 6, 16444,16944, 500
57, 4, 14724,15224, 500
167, 8, 13557,14057, 500
11, 6, 17043,17543, 500
145, 3, 16846,17126, 280
179, 1, 15381,15661, 280
186, 5, 16584,16864, 280
157, 2, 13591,14091, 500
200, 5, 16976,17256, 280
53, 1, 15877,16157, 280
113, 1, 16210,16490, 280
194, 1, 16543,16823, 280
86, 8, 15469,15969, 500
149, 5, 17350,17630, 280
84, 2, 14247,14747, 500
40, 3, 17220,17500, 280
25, 1, 16940,17220, 280
153, 3, 17594,17874, 280
23, 2, 14846,15346, 500
180, 1, 17273,17553, 280
4, 3, 17968,18248, 280
30, 1, 17688,17968, 280
101, 7, 13818,14318, 500
125, 2, 15434,15934, 500
26, 2, 15992,16492, 500
159, 2, 16550,17050, 500
119, 4, 15386,15886, 500
205, 5, 17724,18004, 280
203, 7, 14475,14975, 500
189, 1, 18051,18331, 280
27, 7, 15100,15600, 500
74, 7, 15653,16153, 500
198, 5, 18098,18378, 280
94, 7, 16286,16786, 500
200, 7, 17309,17809, 500
138, 8, 16050,16550, 500
151, 4, 16109,16609, 500
168, 5, 18472,18752, 280
70, 5, 18805,19085, 280
53, 2, 17167,17667, 500
45, 6, 17660,18160, 500
133, 3, 18342,18622, 280
124, 6, 18259,18759, 500
77, 4, 16708,17208, 500
