代数, 变异数, 最优个体时间
313,13,25656.0
314,7,25656.0
315,13,25656.0
316,9,25656.0
317,19,25656.0
318,19,25656.0
319,5,25656.0
320,14,25656.0
321,9,25656.0
322,16,25656.0
323,5,25656.0
324,17,25656.0
325,12,25656.0
326,4,25656.0
327,8,25656.0
328,2,25656.0
329,14,25656.0
330,14,25656.0
331,15,25656.0
332,4,25656.0
333,2,25656.0
334,6,25656.0
335,16,25656.0
336,12,25656.0
337,14,25656.0
338,9,25656.0
339,8,25656.0
340,6,25656.0
341,14,25656.0
342,16,25656.0
343,15,25656.0
344,13,25656.0
345,7,25656.0
346,4,25656.0
347,16,25656.0
348,7,25656.0
349,5,25656.0
350,15,25656.0
351,18,25656.0
352,15,25656.0
353,2,25656.0
354,2,25656.0
355,5,25656.0
356,14,25656.0
357,7,25656.0
358,19,25656.0
359,17,25656.0
360,15,25656.0
361,14,25656.0
362,17,25642.0
363,5,25642.0
364,19,25642.0
365,11,25642.0
366,9,25578.0
367,10,25578.0
368,10,25578.0
369,3,25578.0
370,21,25578.0
371,15,25578.0
372,20,25578.0
373,2,25578.0
374,8,25578.0
375,11,25578.0
376,3,25578.0
377,1,25578.0
378,6,25578.0
379,17,25578.0
380,9,25578.0
381,12,25578.0
382,14,25578.0
383,16,25514.0
384,13,25514.0
385,12,25514.0
386,9,25514.0
387,18,25514.0
388,7,25514.0
389,15,25514.0
390,1,25514.0
391,7,25514.0
392,7,25514.0
393,9,25514.0
394,19,25514.0
395,3,25514.0
396,4,25514.0
397,15,25514.0
398,16,25505.0
399,10,25505.0
400,10,25505.0
401,14,25478.0
402,18,25478.0
403,18,25478.0
404,3,25478.0
405,9,25478.0
406,17,25350.0
407,12,25350.0
408,17,25350.0
409,19,25350.0
410,12,25350.0
411,12,25350.0
412,11,25350.0
413,8,25350.0
414,9,25350.0
415,6,25350.0
416,5,25350.0
417,20,25350.0
418,11,25350.0
419,7,25350.0
420,8,25350.0
421,17,25350.0
422,18,25350.0
423,13,25350.0
424,19,25350.0
425,11,25350.0
426,19,25350.0
427,14,25350.0
428,15,25350.0
429,16,25350.0
430,1,25350.0
431,10,25350.0
432,16,25350.0
433,10,25350.0
434,14,25296.0
435,14,25296.0
436,18,25296.0
437,3,25296.0
438,18,25296.0
439,7,25296.0
440,6,25296.0
441,6,25296.0
442,17,25296.0
443,10,25296.0
444,17,25296.0
445,2,25296.0
446,14,25296.0
447,6,25296.0
448,16,25296.0
449,16,25296.0
450,13,25296.0
451,4,25296.0
452,6,25296.0
453,16,25290.0
454,17,25290.0
455,16,25290.0
456,14,25290.0
457,12,25290.0
458,4,25290.0
459,16,25290.0
460,9,25290.0
461,5,25290.0
462,8,25290.0
463,2,25290.0
464,1,25290.0
465,12,25290.0
466,18,25290.0
467,12,25290.0
468,13,25290.0
469,20,25290.0
470,9,25290.0
471,3,25290.0
472,13,25290.0
473,13,25290.0
474,20,25290.0
475,13,25290.0
476,21,25290.0
477,16,25290.0
478,6,25290.0
479,17,25290.0
480,4,25290.0
481,7,25290.0
482,15,25290.0
483,17,25290.0
484,14,25290.0
485,11,25290.0
486,16,25290.0
487,15,25288.0
488,7,25288.0
489,18,25288.0
490,8,25288.0
491,10,25288.0
492,9,25288.0
493,14,25288.0
494,5,25288.0
495,4,25288.0
496,9,25288.0
497,10,25288.0
498,13,25288.0
499,7,25288.0
500,12,25288.0
501,8,25210.0
502,15,25210.0
503,5,25210.0
504,5,25210.0
505,11,25210.0
506,16,25210.0
507,11,25207.0
508,16,25207.0
509,14,25207.0
510,18,25207.0
511,20,25207.0
512,7,25207.0
513,11,25207.0
514,15,25207.0
515,16,25207.0
516,10,25207.0
517,2,25207.0
518,11,25207.0
519,10,25207.0
520,15,25207.0
521,2,25207.0
522,13,25207.0
523,19,25207.0
524,18,25207.0
525,9,25207.0
526,7,25207.0
527,19,25132.0
528,14,25132.0
529,13,25132.0
530,19,25132.0
531,9,25132.0
532,15,25132.0
533,18,25114.0
534,14,25114.0
535,22,25114.0
536,7,25114.0
537,1,25114.0
538,21,25114.0
539,4,25114.0
540,12,25114.0
541,18,25114.0
542,9,25114.0
543,16,25047.0
544,17,25047.0
545,10,25047.0
546,16,25047.0
547,1,25047.0
548,5,25047.0
549,12,25047.0
550,21,25035.0
551,14,25035.0
552,14,25035.0
553,3,25035.0
554,12,25035.0
555,1,25035.0
556,3,25035.0
557,16,25035.0
558,15,25035.0
559,6,25035.0
560,2,25035.0
561,7,25035.0
562,11,25035.0
563,8,25035.0
564,16,25035.0
565,9,25035.0
566,16,25035.0
567,3,25035.0
568,17,25035.0
569,17,25035.0
570,5,25035.0
571,15,25035.0
572,17,25035.0
573,10,25035.0
574,8,25035.0
575,13,25035.0
576,1,25035.0
577,5,25035.0
578,8,25035.0
579,15,25035.0
580,9,25035.0
581,19,25035.0
582,9,25035.0
583,14,25035.0
584,20,25035.0
585,15,25035.0
586,6,25035.0
587,18,25035.0
588,21,25035.0
589,11,25035.0
590,16,25035.0
591,11,25035.0
592,14,25035.0
593,13,25035.0
594,16,25006.0
595,7,25006.0
596,14,25006.0
597,16,25006.0
598,9,25006.0
599,13,25006.0
600,18,25006.0
