代数, 变异数, 最优个体时间
1,12,28247.0
2,7,28247.0
3,9,28247.0
4,2,28247.0
5,9,28247.0
6,10,28247.0
7,18,28247.0
8,2,28247.0
9,16,28207.0
10,17,28207.0
11,19,28207.0
12,13,28130.0
13,14,28130.0
14,16,28130.0
15,9,27734.0
16,14,27734.0
17,5,27734.0
18,14,27734.0
19,9,27492.0
20,1,27492.0
21,19,27492.0
22,18,27492.0
23,9,27490.0
24,13,27490.0
25,2,27490.0
26,20,27490.0
27,4,27490.0
28,13,27490.0
29,12,27397.0
30,18,27397.0
31,12,27397.0
32,3,27397.0
33,15,27249.0
34,14,27249.0
35,8,27249.0
36,7,27249.0
37,1,27249.0
38,17,27183.0
39,7,27183.0
40,14,27183.0
41,8,27152.0
42,7,27152.0
43,16,27152.0
44,2,27152.0
45,10,27152.0
46,8,27152.0
47,1,27152.0
48,18,26970.0
49,2,26970.0
50,13,26970.0
51,10,26970.0
52,3,26970.0
53,12,26970.0
54,13,26960.0
55,17,26777.0
56,3,26777.0
57,7,26777.0
58,5,26777.0
59,2,26777.0
60,16,26777.0
61,13,26777.0
62,2,26777.0
63,3,26777.0
64,17,26777.0
65,2,26777.0
66,17,26774.0
67,20,26774.0
68,1,26774.0
69,15,26774.0
70,7,26774.0
71,5,26774.0
72,4,26774.0
73,12,26635.0
74,3,26635.0
75,9,26635.0
76,20,26635.0
77,12,26635.0
78,6,26635.0
79,14,26635.0
80,14,26591.0
81,12,26522.0
82,15,26522.0
83,18,26522.0
84,10,26522.0
85,19,26522.0
86,20,26522.0
87,18,26522.0
88,5,26522.0
89,18,26522.0
90,18,26522.0
91,6,26485.0
92,7,26485.0
93,17,26485.0
94,21,26485.0
95,11,26485.0
96,10,26485.0
97,8,26485.0
98,13,26485.0
99,1,26485.0
100,9,26485.0
101,10,26485.0
102,14,26450.0
103,14,26450.0
104,12,26450.0
105,7,26450.0
106,4,26450.0
107,14,26450.0
108,19,26450.0
109,18,26450.0
110,19,26450.0
111,19,26375.0
112,1,26375.0
113,13,26375.0
114,12,26375.0
115,20,26361.0
116,8,26361.0
117,12,26361.0
118,19,26361.0
119,9,26361.0
120,17,26361.0
121,17,26361.0
122,18,26361.0
123,1,26361.0
124,8,26361.0
125,5,26361.0
126,2,26361.0
127,17,26361.0
128,16,26361.0
129,18,26361.0
130,19,26318.0
131,16,26318.0
132,8,26318.0
133,8,26318.0
134,17,26318.0
135,9,26318.0
136,9,26318.0
137,12,26318.0
138,18,26318.0
139,20,26318.0
140,8,26318.0
141,19,26279.0
142,2,26279.0
143,16,26279.0
144,6,26279.0
145,21,26279.0
146,13,26279.0
147,9,26279.0
148,5,26279.0
149,6,26279.0
150,9,26160.0
151,13,26160.0
152,7,26160.0
153,15,26160.0
154,6,26160.0
155,13,26160.0
156,11,26160.0
157,8,26142.0
158,15,26142.0
159,4,26142.0
160,15,26118.0
161,9,26118.0
162,15,26118.0
163,1,26118.0
164,15,26118.0
165,16,26118.0
166,6,26065.0
167,6,26065.0
168,11,26065.0
169,13,26065.0
170,18,26065.0
171,13,26027.0
172,8,26027.0
173,11,26027.0
174,13,26027.0
175,12,26027.0
176,17,26027.0
177,7,26027.0
178,17,26027.0
179,7,26027.0
180,15,26027.0
181,16,26027.0
182,14,26027.0
183,9,25976.0
184,21,25976.0
185,15,25976.0
186,14,25976.0
187,8,25976.0
188,14,25976.0
189,17,25976.0
190,9,25976.0
191,17,25913.0
192,7,25913.0
193,6,25913.0
194,8,25913.0
195,14,25913.0
196,5,25913.0
197,3,25913.0
198,1,25913.0
199,14,25913.0
200,12,25913.0
201,8,25913.0
202,13,25904.0
203,12,25904.0
204,10,25904.0
205,1,25904.0
206,11,25904.0
207,5,25904.0
208,5,25904.0
209,17,25904.0
210,16,25904.0
211,21,25904.0
212,10,25904.0
213,13,25904.0
214,15,25904.0
215,8,25904.0
216,9,25904.0
217,19,25904.0
218,9,25904.0
219,3,25864.0
220,13,25864.0
221,13,25864.0
222,8,25864.0
223,11,25864.0
224,5,25864.0
225,14,25864.0
226,15,25864.0
227,1,25864.0
228,21,25864.0
229,12,25864.0
230,16,25864.0
231,2,25864.0
232,15,25864.0
233,4,25864.0
234,9,25864.0
235,14,25864.0
236,11,25864.0
237,14,25864.0
238,10,25864.0
239,16,25864.0
240,3,25864.0
241,4,25864.0
242,12,25864.0
243,14,25864.0
244,15,25864.0
245,18,25864.0
246,6,25864.0
247,19,25864.0
248,19,25864.0
249,18,25864.0
250,13,25864.0
251,1,25864.0
252,16,25864.0
253,13,25864.0
254,16,25864.0
255,10,25864.0
256,8,25864.0
257,15,25864.0
258,15,25864.0
259,17,25864.0
260,6,25864.0
261,19,25864.0
262,17,25864.0
263,7,25864.0
264,19,25864.0
265,16,25864.0
266,16,25864.0
267,21,25864.0
268,8,25864.0
269,15,25864.0
270,19,25843.0
271,4,25843.0
272,12,25843.0
273,17,25843.0
274,9,25801.0
275,12,25801.0
276,17,25801.0
277,20,25801.0
278,19,25801.0
279,8,25801.0
280,7,25801.0
281,19,25801.0
282,5,25801.0
283,5,25801.0
284,11,25801.0
285,2,25801.0
286,15,25801.0
287,20,25801.0
288,5,25801.0
289,18,25801.0
290,17,25792.0
291,16,25678.0
292,5,25678.0
293,16,25656.0
294,15,25656.0
295,1,25656.0
296,18,25656.0
297,13,25656.0
298,9,25656.0
299,17,25656.0
300,20,25656.0
301,14,25656.0
302,14,25656.0
303,18,25656.0
304,10,25656.0
305,9,25656.0
306,13,25656.0
307,4,25656.0
308,9,25656.0
309,10,25656.0
310,14,25656.0
311,1,25656.0
312,6,25656.0
