代数, 变异数, 最优个体时间
1,15,32359.0
2,7,32359.0
3,3,32359.0
4,4,32359.0
5,5,32359.0
6,11,32359.0
7,13,32359.0
8,12,32359.0
9,11,32359.0
10,7,32359.0
