代数, 变异数, 最优个体时间
1,1,1075.0
2,1,1075.0
3,3,1075.0
4,2,1075.0
5,3,1075.0
6,4,1075.0
7,3,1004.0
8,2,1004.0
9,2,1004.0
10,4,1004.0
